7,9,10
roy,cs122,232323,4,6,DPAAPPPAAAA,1
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
rohan,cs121,89328283,7,3,DAPPPPPPAAP,1
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
poornesh,cs101,823482,8,2,DPPPAPPPPAP,1
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
no name,mite,0,0,10,DAAAAAAAAAA,0
