royal,cs122,83928938,2,0,DPP,1
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,3,1,DPPP,0
rohan,cs121,9203920,1,1,DPA,1
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,3,1,DPPP,0
rahul,cs114,283298,0,2,DAA,1
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
no name,mite,0,2,1,DPP,0
